50,6,2010-09-18,Arles,Marseille,0,3,0,2,16,15,6,8,14,12,9,3,2,1,0,0,A
51,6,2010-09-18,Lorient,Caen,0,1,0,1,18,13,4,4,12,17,4,1,1,2,0,0,A
52,6,2010-09-18,Monaco,Toulouse,0,0,0,0,9,10,2,5,13,14,2,5,4,2,0,0,D
53,6,2010-09-18,Nancy,Brest,0,2,0,0,16,9,3,5,14,11,6,1,0,1,0,0,A
54,6,2010-09-18,Sochaux,Nice,4,0,1,0,24,11,12,7,17,14,9,4,2,2,0,0,H
55,6,2010-09-18,St Etienne,Montpellier,3,0,2,0,10,13,4,1,17,21,3,2,0,1,0,0,H
56,6,2010-09-18,Valenciennes,Lens,1,1,0,0,10,12,2,3,18,10,1,7,2,3,0,0,D
57,6,2010-09-19,Bordeaux,Lyon,2,0,0,0,19,10,5,1,15,23,7,4,3,3,0,0,H
58,6,2010-09-19,Lille,Auxerre,1,0,0,0,11,8,1,2,13,15,6,3,2,2,0,0,H
59,6,2010-09-19,Paris SG,Rennes,0,0,0,0,11,10,2,2,19,15,5,0,0,1,0,0,D
60,7,2010-09-25,Auxerre,Nancy,2,2,2,2,17,7,5,3,9,18,3,1,3,2,0,0,D
61,7,2010-09-25,Caen,Bordeaux,0,0,0,0,3,14,1,4,23,13,3,2,2,2,0,0,D
62,7,2010-09-25,Lorient,Monaco,2,1,1,1,24,2,6,1,8,20,8,0,1,4,0,1,H
63,7,2010-09-25,Lyon,St Etienne,0,1,0,0,28,5,4,2,11,21,12,2,3,4,1,0,A
64,7,2010-09-25,Marseille,Sochaux,2,1,1,0,25,8,5,2,15,17,9,2,0,2,0,0,H
65,7,2010-09-25,Montpellier,Arles,3,1,1,0,13,15,4,4,22,24,5,4,2,5,1,0,H
66,7,2010-09-25,Nice,Rennes,1,2,1,1,8,10,3,5,15,20,2,4,2,3,0,0,A
67,7,2010-09-26,Brest,Valenciennes,1,0,0,0,13,6,5,3,13,20,7,4,0,3,0,0,H
68,7,2010-09-26,Lens,Paris SG,0,2,0,0,14,20,3,6,18,19,4,7,0,3,0,0,A
69,7,2010-09-26,Toulouse,Lille,1,1,0,1,14,6,6,2,22,10,3,0,3,3,0,0,D
70,8,2010-10-02,Arles,Auxerre,0,4,0,2,8,14,0,8,16,18,5,0,1,0,0,0,A
71,8,2010-10-02,Bordeaux,Lorient,1,0,1,0,10,7,2,3,22,15,6,8,1,3,0,0,H
72,8,2010-10-02,Monaco,Brest,0,1,0,0,13,10,7,2,18,10,8,5,2,1,0,0,A
73,8,2010-10-02,Nancy,Lyon,2,3,0,1,19,8,6,3,20,21,6,3,1,3,0,0,A
74,8,2010-10-02,Sochaux,Lens,3,0,2,0,11,12,7,5,16,13,3,5,1,3,0,0,H
75,8,2010-10-02,St Etienne,Marseille,1,1,0,1,18,13,8,3,12,10,9,4,1,1,0,0,D
76,8,2010-10-02,Valenciennes,Caen,2,1,2,0,14,7,4,1,22,10,5,3,2,3,0,0,H
77,8,2010-10-03,Lille,Montpellier,3,1,2,1,11,15,6,6,14,18,3,3,1,0,0,0,H
78,8,2010-10-03,Paris SG,Nice,0,0,0,0,19,11,6,2,10,10,12,3,1,4,0,0,D
79,8,2010-10-03,Rennes,Toulouse,3,1,1,0,14,15,7,2,9,15,3,4,0,1,0,0,H
80,9,2010-10-16,Auxerre,Bordeaux,0,1,0,1,15,9,2,4,16,18,8,8,1,2,0,1,A
81,9,2010-10-16,Brest,Arles,0,0,0,0,11,8,1,1,17,19,5,1,0,0,0,0,D
82,9,2010-10-16,Caen,Monaco,0,0,0,0,10,15,2,6,14,17,7,7,2,2,0,0,D
83,9,2010-10-16,Marseille,Nancy,1,0,1,0,14,7,4,2,17,17,13,3,1,1,0,0,H
84,9,2010-10-16,Montpellier,Sochaux,2,0,2,0,14,5,6,1,18,16,5,3,0,4,0,0,H
85,9,2010-10-16,Toulouse,Paris SG,0,2,0,1,6,13,4,7,19,14,6,4,2,1,0,0,A
86,9,2010-10-17,Lens,Rennes,0,0,0,0,12,10,4,4,21,24,2,3,2,1,0,1,D
87,9,2010-10-17,Lorient,Valenciennes,2,1,2,1,15,14,6,5,14,18,3,4,1,3,0,0,H
88,9,2010-10-17,Lyon,Lille,3,1,2,0,16,20,9,9,19,11,4,3,0,2,1,0,H
89,9,2010-10-17,Nice,St Etienne,2,1,0,1,18,8,7,2,8,15,8,2,2,5,0,1,H
90,10,2010-10-23,Bordeaux,Brest,0,2,0,1,20,11,7,6,10,15,11,8,2,2,0,0,A
91,10,2010-10-23,Lens,Nice,1,0,0,0,21,10,2,3,9,13,4,4,2,2,0,0,H
92,10,2010-10-23,Monaco,Valenciennes,0,2,0,1,12,13,3,4,25,17,7,4,2,2,0,0,A
93,10,2010-10-23,Nancy,Lorient,1,0,1,0,16,13,5,4,20,20,11,5,1,2,0,1,H
94,10,2010-10-23,Rennes,Montpellier,0,1,0,1,12,11,5,2,17,18,6,1,2,3,1,1,A
95,10,2010-10-23,Sochaux,Toulouse,1,3,0,0,8,12,4,8,15,14,1,9,1,1,0,0,A
96,10,2010-10-23,St Etienne,Caen,1,1,0,1,26,7,5,2,14,16,5,6,1,3,0,0,D
97,10,2010-10-24,Arles,Lyon,1,1,1,0,8,10,2,5,13,14,2,6,1,2,0,0,D
98,10,2010-10-24,Lille,Marseille,1,3,1,0,14,9,7,7,15,19,7,4,2,3,0,0,A
99,10,2010-10-24,Paris SG,Auxerre,2,3,1,3,14,8,7,4,19,14,5,3,1,2,0,0,A
100,11,2010-10-30,Auxerre,Nice,2,0,1,0,16,19,7,4,9,12,0,4,1,2,0,0,H
101,11,2010-10-30,Brest,St Etienne,2,0,0,0,14,14,5,1,16,9,1,4,1,0,0,0,H
102,11,2010-10-30,Caen,Nancy,2,3,1,2,13,14,3,6,28,20,5,3,3,4,0,0,A
103,11,2010-10-30,Lorient,Arles,2,0,0,0,16,7,5,1,13,16,7,1,1,1,0,0,H
104,11,2010-10-30,Lyon,Sochaux,2,1,1,0,16,7,3,4,10,17,8,3,1,2,0,0,H
105,11,2010-10-30,Toulouse,Lens,1,1,1,1,5,9,2,2,19,17,4,2,1,1,0,0,D
106,11,2010-10-31,Montpellier,Paris SG,1,1,1,1,17,15,5,3,23,17,2,4,2,2,0,0,D
107,11,2010-10-31,Valenciennes,Lille,1,1,0,0,10,18,3,3,16,15,4,7,3,1,0,0,D
108,11,2010-11-02,Monaco,Bordeaux,2,2,0,1,16,12,7,4,16,15,4,5,2,3,1,0,D
109,12,2010-11-06,Arles,Caen,3,2,2,1,14,13,9,5,21,15,5,8,1,2,0,0,H
110,12,2010-11-06,Bordeaux,Valenciennes,1,1,0,1,28,7,8,4,9,16,7,3,3,4,0,0,D
111,12,2010-11-06,Rennes,Lyon,1,1,1,0,10,12,5,5,20,20,5,5,0,2,0,0,D
112,12,2010-11-06,Sochaux,Auxerre,1,1,0,1,24,14,7,5,15,14,10,5,2,1,0,0,D
113,12,2010-11-06,St Etienne,Lorient,1,2,0,1,11,21,5,7,20,6,4,8,3,0,0,0,A
114,12,2010-11-07,Lens,Montpellier,2,0,2,0,8,16,5,3,26,19,2,5,2,2,0,0,H
115,12,2010-11-07,Lille,Brest,3,1,1,0,20,15,7,4,13,13,4,2,1,2,0,0,H
116,12,2010-11-07,Nancy,Monaco,0,4,0,0,16,11,5,4,15,16,4,5,0,2,0,0,A
117,12,2010-11-07,Nice,Toulouse,2,0,1,0,6,12,3,3,13,25,3,5,2,2,0,1,H
118,11,2010-11-07,Paris SG,Marseille,2,1,2,1,11,15,6,5,18,16,5,4,3,3,0,0,H
119,13,2010-11-13,Bordeaux,Nancy,2,1,1,0,10,8,4,2,22,15,5,3,2,3,0,0,H
120,13,2010-11-13,Brest,Sochaux,1,1,1,1,18,10,5,3,11,15,12,3,1,2,0,0,D
121,13,2010-11-13,Caen,Lille,2,5,1,3,11,22,5,8,15,18,1,0,3,1,0,0,A
122,13,2010-11-13,Marseille,Lens,1,1,1,0,19,7,5,2,22,13,4,5,1,2,0,0,D
123,13,2010-11-13,Monaco,Arles,0,0,0,0,16,9,4,4,10,19,9,5,0,1,0,0,D
124,13,2010-11-13,Montpellier,Toulouse,1,0,1,0,13,6,5,3,14,27,4,4,1,1,0,0,H
125,13,2010-11-14,Auxerre,Rennes,2,1,0,0,12,12,5,5,18,11,5,2,4,1,0,0,H
126,13,2010-11-14,Lorient,Paris SG,1,1,1,0,13,19,4,8,8,21,7,9,2,2,0,0,D
127,13,2010-11-14,Lyon,Nice,1,0,1,0,19,1,6,0,12,17,7,1,1,3,0,0,H
128,14,2010-11-20,Nancy,Valenciennes,2,0,1,0,25,7,10,0,15,18,10,3,2,4,0,0,H
129,14,2010-11-20,Nice,Montpellier,0,1,0,0,9,14,3,10,12,17,3,5,2,3,0,0,A
130,14,2010-11-20,Paris SG,Caen,2,1,1,0,11,13,3,1,14,13,6,5,2,2,0,0,H
131,13,2010-11-20,Rennes,Brest,2,1,1,0,17,7,6,2,14,12,3,5,1,2,0,0,H
132,14,2010-11-20,Sochaux,Lorient,2,0,1,0,11,6,4,2,14,10,4,5,0,0,0,0,H
133,14,2010-11-20,St Etienne,Auxerre,1,1,0,1,13,13,1,4,20,17,6,3,1,1,0,0,D
134,13,2010-11-20,Toulouse,Marseille,0,1,0,0,11,20,1,4,19,18,3,3,0,1,0,0,A
135,14,2010-11-21,Arles,Bordeaux,2,4,1,2,9,30,5,9,19,11,6,8,3,1,1,0,A
136,14,2010-11-21,Lens,Lyon,1,3,1,0,3,11,1,5,12,15,4,2,2,1,0,0,A
137,14,2010-11-21,Lille,Monaco,2,1,1,0,23,3,8,2,9,13,12,3,0,2,0,0,H
138,15,2010-11-27,Bordeaux,Lille,1,1,0,1,7,8,1,2,20,15,3,8,1,1,0,0,D
139,15,2010-11-27,Lorient,Rennes,2,0,0,0,15,4,8,1,15,18,6,2,2,1,0,0,H
140,14,2010-11-27,Marseille,Montpellier,4,0,2,0,10,16,6,3,15,15,1,7,1,2,0,0,H
141,15,2010-11-27,Monaco,Nice,1,1,0,0,14,8,2,2,29,12,6,1,0,3,0,1,D
142,15,2010-11-27,Nancy,St Etienne,1,1,0,0,18,15,4,6,16,20,5,3,0,2,0,0,D
143,14,2010-11-27,Valenciennes,Arles,3,0,1,0,20,10,8,1,24,21,6,9,3,3,0,0,H
144,15,2010-11-28,Auxerre,Toulouse,1,2,0,2,13,9,3,5,18,16,3,2,3,2,0,0,A
145,15,2010-11-28,Caen,Sochaux,0,3,0,1,19,9,4,4,15,12,8,5,1,2,0,0,A
146,15,2010-11-28,Lyon,Paris SG,2,2,0,0,27,11,5,4,15,8,11,4,2,1,1,0,D
147,15,2010-11-30,Brest,Lens,4,1,2,1,14,13,6,5,19,14,3,11,1,1,0,0,H
148,15,2010-12-01,Marseille,Rennes,0,0,0,0,19,12,5,4,13,16,5,6,2,1,0,0,D
149,15,2010-12-01,Valenciennes,St Etienne,1,1,0,1,25,6,8,4,11,16,8,3,1,1,0,0,D
150,16,2010-12-04,Arles,Nancy,1,1,1,1,14,7,2,1,23,27,3,6,2,4,0,0,D
151,16,2010-12-04,Lens,Auxerre,1,1,1,0,17,13,2,3,13,14,8,8,1,1,0,0,D
152,16,2010-12-04,Lille,Lorient,6,3,2,2,22,7,11,4,14,7,4,4,2,2,0,1,H
153,16,2010-12-04,Montpellier,Lyon,1,2,0,1,17,8,6,5,16,19,7,1,3,2,0,0,A
154,16,2010-12-04,Rennes,Monaco,1,0,0,0,9,10,2,3,17,12,4,1,2,3,0,0,H
155,16,2010-12-04,Sochaux,Valenciennes,2,1,1,0,18,13,8,6,14,11,5,3,1,1,0,0,H
156,16,2010-12-04,Toulouse,Caen,1,0,0,0,12,10,4,4,13,21,3,5,0,3,0,0,H
157,16,2010-12-05,Nice,Marseille,1,0,0,0,7,14,1,6,14,23,5,6,3,3,0,0,H
158,16,2010-12-05,Paris SG,Brest,3,1,1,0,14,16,5,6,17,13,6,6,2,0,0,0,H
159,16,2010-12-05,St Etienne,Bordeaux,2,2,0,1,14,7,9,4,16,19,6,2,0,2,0,0,D
160,17,2010-12-11,Arles,Lille,0,1,0,0,9,10,2,4,14,15,3,4,2,2,1,0,A
161,17,2010-12-11,Auxerre,Marseille,1,1,1,1,14,13,3,3,12,12,0,10,3,1,0,1,D
162,17,2010-12-11,Brest,Montpellier,0,0,0,0,8,12,3,3,11,19,6,4,0,2,0,0,D
163,17,2010-12-11,Caen,Nice,0,0,0,0,9,13,1,2,19,15,7,5,2,3,0,0,D
164,17,2010-12-11,Lorient,Lens,3,0,0,0,12,14,8,5,17,18,1,7,0,1,0,0,H
165,17,2010-12-11,Nancy,Sochaux,1,0,0,0,16,15,6,4,20,23,3,7,2,1,0,0,H
166,17,2010-12-11,Valenciennes,Paris SG,1,2,0,0,11,22,5,12,10,17,3,8,1,1,0,0,A
167,17,2010-12-12,Bordeaux,Rennes,0,0,0,0,12,3,3,1,9,13,6,4,0,2,0,0,D
168,17,2010-12-12,Lyon,Toulouse,2,0,2,0,12,8,6,4,12,14,2,2,0,1,0,0,H
169,17,2010-12-12,Monaco,St Etienne,0,2,0,1,13,9,3,3,15,14,2,3,2,1,0,0,A
170,18,2010-12-18,Montpellier,Auxerre,1,1,0,0,12,9,4,3,16,21,2,1,3,1,0,0,D
171,18,2010-12-18,Nice,Brest,1,1,1,1,13,13,5,3,13,13,5,3,1,3,0,0,D
172,18,2010-12-18,Paris SG,Monaco,2,2,1,1,17,13,8,4,18,11,11,5,1,3,0,0,D
173,18,2010-12-18,Rennes,Valenciennes,1,0,0,0,14,7,3,3,13,12,6,1,1,2,0,0,H
174,18,2010-12-18,St Etienne,Arles,2,0,0,0,22,6,6,2,17,16,8,1,0,3,0,1,H
175,18,2010-12-18,Toulouse,Lorient,3,0,1,0,7,9,4,3,17,13,3,5,1,0,0,0,H
176,18,2010-12-19,Marseille,Lyon,1,1,0,1,13,11,3,3,17,16,5,1,2,1,0,0,D
