56,6,2014-09-21,Lens,St Etienne,-1,1,D,4,3,0.444,0.200,5,7,0,0,A
57,6,2014-09-21,Lille,Montpellier,0,0,D,2,0,0.154,0.000,7,4,0,0,D
58,6,2014-09-21,Monaco,Guingamp,1,-1,H,7,2,0.368,0.667,6,2,0,0,H
59,6,2014-09-21,Paris SG,Lyon,0,0,H,3,5,0.250,0.556,4,2,0,0,D
60,7,2014-09-23,Reims,Marseille,-5,5,A,3,11,0.300,0.524,3,6,0,0,A
61,7,2014-09-23,Rennes,Toulouse,-3,3,A,4,5,0.250,0.556,6,7,0,0,A
62,7,2014-09-24,Bastia,Nantes,0,0,D,0,2,0.000,0.143,4,6,1,0,D
63,7,2014-09-24,Caen,Paris SG,-2,2,A,3,8,0.214,0.500,2,3,0,0,A
64,7,2014-09-24,Evian TG,Lens,1,-1,H,3,4,0.214,0.444,4,2,0,0,H
65,7,2014-09-24,Guingamp,Metz,-1,1,A,1,4,0.083,0.444,7,8,0,1,A
66,7,2014-09-24,Lyon,Lorient,4,-4,H,9,2,0.643,0.154,5,7,0,0,H
67,7,2014-09-24,Montpellier,Monaco,-1,1,D,3,7,0.333,0.538,4,4,0,0,A
68,7,2014-09-24,Nice,Lille,1,-1,H,3,3,0.333,0.500,11,2,0,0,H
69,7,2014-09-25,St Etienne,Bordeaux,0,0,D,7,2,0.318,0.667,11,1,0,0,D
70,8,2014-09-27,Lille,Bastia,1,-1,H,7,2,0.368,0.250,5,1,0,0,H
71,8,2014-09-27,Lorient,Evian TG,-2,2,A,4,3,0.250,0.600,9,3,1,0,A
72,8,2014-09-27,Metz,Reims,3,-3,D,9,1,0.529,0.250,4,3,0,2,H
73,8,2014-09-27,Monaco,Nice,-1,1,A,1,2,0.125,0.250,5,2,0,0,A
74,8,2014-09-27,Montpellier,Guingamp,1,-1,D,5,6,0.556,0.545,5,4,0,1,H
75,8,2014-09-27,Toulouse,Paris SG,0,0,D,5,2,0.455,0.250,4,5,0,0,D
76,8,2014-09-28,Bordeaux,Rennes,1,-1,D,4,6,0.286,0.500,3,3,0,0,H
77,8,2014-09-28,Lens,Caen,0,0,D,2,2,0.222,0.154,1,0,0,0,D
78,8,2014-09-28,Marseille,St Etienne,1,-1,H,8,5,0.571,0.455,6,1,0,0,H
79,8,2014-09-28,Nantes,Lyon,0,0,D,4,5,0.286,0.500,5,3,0,0,D
80,9,2014-10-03,Reims,Bordeaux,1,-1,H,0,3,0.000,0.250,6,4,0,0,H
81,9,2014-10-04,Bastia,Lorient,-2,2,D,3,6,0.500,0.429,3,3,0,0,A
82,9,2014-10-04,Caen,Marseille,-1,1,D,4,9,0.364,0.409,4,9,0,0,A
83,9,2014-10-04,Evian TG,Metz,3,-3,D,2,3,0.250,0.375,2,3,0,0,H
84,9,2014-10-04,Nice,Montpellier,0,0,D,2,2,0.200,0.286,4,3,0,0,D
85,9,2014-10-04,Rennes,Lens,2,-2,D,7,1,0.438,0.125,6,7,0,0,H
